id,description,type,category,subcategory,date,amount
4075,Home Goods - December 2025,EXPENSE,Other Personal Expenses,,2025-12-31 00:00:00+00:00,158.21
4016,Freelance - December 2025,INCOME,Freelance Income,,2025-12-31 00:00:00+00:00,1809.44
4159,Fitness - December 2025,EXPENSE,Other Income,,2025-12-29 00:00:00+00:00,123.53
4466,Transacción de ejemplo 12-4,EXPENSE,Other Income,,2025-12-27 00:00:00+00:00,195.43
4219,Certifications - December 2025,EXPENSE,Other Income,,2025-12-26 00:00:00+00:00,497.63
3798,Gas - December 2025,EXPENSE,Car & Vehicle Expenses,,2025-12-26 00:00:00+00:00,203.84
4467,Transacción de ejemplo 12-5,EXPENSE,Other Income,,2025-12-25 00:00:00+00:00,685.82
4160,Fitness - December 2025,EXPENSE,Other Income,,2025-12-25 00:00:00+00:00,257.15
4030,Side Projects - December 2025,INCOME,Other Income,,2025-12-25 00:00:00+00:00,1371.27
4028,Investments - December 2025,INCOME,Other Income,,2025-12-25 00:00:00+00:00,4231.25
3738,Groceries - December 2025,EXPENSE,Other Income,,2025-12-25 00:00:00+00:00,471.35
4005,Bonus - December 2025,INCOME,Other Income,,2025-12-23 00:00:00+00:00,4251.86
4207,Workshops - December 2025,EXPENSE,Other Income,,2025-12-22 00:00:00+00:00,259.39
4076,Home Goods - December 2025,EXPENSE,Other Personal Expenses,,2025-12-22 00:00:00+00:00,382.60
3758,Fast Food - December 2025,EXPENSE,Dining Out,,2025-12-22 00:00:00+00:00,27.18
4244,Bonds - December 2025,INCOME,Other Income,,2025-12-20 00:00:00+00:00,4129.13
4242,Bonds - December 2025,INCOME,Other Income,,2025-12-20 00:00:00+00:00,1417.01
4000,Bonus - December 2025,INCOME,Other Income,,2025-12-19 00:00:00+00:00,4562.83
3802,Gas - December 2025,EXPENSE,Car & Vehicle Expenses,,2025-12-19 00:00:00+00:00,206.42
4062,Electronics - December 2025,EXPENSE,Other Income,,2025-12-18 00:00:00+00:00,270.42
3940,Utilities - December 2025,EXPENSE,Other Income,,2025-12-18 00:00:00+00:00,224.44
4464,Transacción de ejemplo 12-2,EXPENSE,Other Income,,2025-12-17 00:00:00+00:00,591.70
4029,Investments - December 2025,INCOME,Other Income,,2025-12-17 00:00:00+00:00,2075.38
3893,Streaming Services - December 2025,EXPENSE,Other Income,,2025-12-17 00:00:00+00:00,182.35
4223,Certifications - December 2025,EXPENSE,Other Income,,2025-12-16 00:00:00+00:00,190.90
4205,Workshops - December 2025,EXPENSE,Other Income,,2025-12-16 00:00:00+00:00,478.01
3759,Fast Food - December 2025,EXPENSE,Dining Out,,2025-12-15 00:00:00+00:00,193.34
4037,Side Projects - December 2025,INCOME,Other Income,,2025-12-14 00:00:00+00:00,2155.49
3858,Movies - December 2025,EXPENSE,Other Income,,2025-12-14 00:00:00+00:00,302.29
4324,Weddings - December 2025,EXPENSE,Other Income,,2025-12-13 00:00:00+00:00,379.75
4173,Tuition - December 2025,EXPENSE,Other Income,,2025-12-13 00:00:00+00:00,430.60
3967,Insurance - December 2025,EXPENSE,Insurance,,2025-12-13 00:00:00+00:00,270.76
3954,Phone - December 2025,EXPENSE,Phone & Internet,,2025-12-12 00:00:00+00:00,117.65
4274,Real Estate - December 2025,INCOME,Other Income,,2025-12-11 00:00:00+00:00,3561.80
4260,Crypto - December 2025,INCOME,Investments,,2025-12-11 00:00:00+00:00,1024.58
4259,Crypto - December 2025,INCOME,Investments,,2025-12-11 00:00:00+00:00,4450.18
3813,Car Maintenance - December 2025,EXPENSE,Car & Vehicle Expenses,,2025-12-11 00:00:00+00:00,260.69
4101,Books - December 2025,EXPENSE,Other Income,,2025-12-10 00:00:00+00:00,182.70
3990,Monthly Salary - December 2025,INCOME,Salary,,2025-12-10 00:00:00+00:00,4906.03
4468,Transacción de ejemplo 12-6,EXPENSE,Other Income,,2025-12-09 00:00:00+00:00,343.99
3882,Sports Events - December 2025,EXPENSE,Other Income,,2025-12-09 00:00:00+00:00,77.24
4472,Transacción de ejemplo 12-10,EXPENSE,Other Income,,2025-12-08 00:00:00+00:00,632.16
4469,Transacción de ejemplo 12-7,INCOME,Other Income,,2025-12-08 00:00:00+00:00,589.63
4102,Books - December 2025,EXPENSE,Other Income,,2025-12-08 00:00:00+00:00,272.48
3734,Groceries - December 2025,EXPENSE,Other Income,,2025-12-08 00:00:00+00:00,311.85
